,Nama Panti,Tipe Panti,Jenis Yayasan,Jumlah Berita Kegiatan,Tanggal Gabung,Data Terakhir Update,Nama Pemilik,Alamat,Description,Kebutuhan,Tag Kebutuhan,Program,Tag Program,Jumlah Pengurus,Jumlah Anak,Laki-laki,Perempuan,Jumlah Tag Kebutuhan,Jumlah Tag Program,Description_clean,Kebutuhan_clean,Program_clean,text
76,Cahaya Madani,Lembaga Kesejahteraan Sosial Anak,['Panti Anak Non Mukim'],0,01 Jan 1970,03 Mar 2023,"Irwandi, S.Pd.i ","Jalan Mayor Oking No.I Gg.Hotel Orri Kp.Jembatan Satu, RT 01/RW 01, Ds.Puspasari, Kec.Citeureup Kab.Bogor (Belakang RS.Annisa Citeureup)","Yayasan Cahaya Madani lahir dalam rangka ambil bagian menciptakan kehidupan berbangsa dan bernegara dalam dunia yang damai, sejuk, aman, tentram dan bersahaja. Cita-cita ini diawali dari daerah penyangga ibu kota, berbaur dengan mesyarakat yang bersahaja di Kelurahan Puspasari, Kabupaten Bogor, Jawa Barat- Indonesia. Kami beri nama Yayasan Cahaya Madani disingkat YCM.

YCM bergerak dalam tiga program utama, yakni :
1.  SOSIAL
2. KEMANUSIAAN
3. KEAGAMAAN
","Kebutuhan Sembako Santunan

Kebutuhan Biaya Pendidikan Anak Asuh","['Makanan', 'Pendidikan']",Bimbingan belajar formal dan agama di panti,"['Pendidikan', 'Keagamaan']",10.0,60,35.0,25.0,2,2,yayasan cahaya madani lahir rangka ambil menciptakan kehidupan berbangsa bernegara dunia damai sejuk aman tentram bersahaja cita cita diawali daerah penyangga kota berbaur mesyarakat bersahaja kelurahan puspasari kabupaten bogor jawa barat indonesia nama yayasan cahaya madani disingkat ycm ycm bergerak program utama 1 sosial 2 kemanusiaan 3 keagamaan,kebutuhan sembako santunan kebutuhan biaya pendidikan anak asuh,bimbingan belajar formal agama panti,Cahaya Madani yayasan cahaya madani lahir rangka ambil menciptakan kehidupan berbangsa bernegara dunia damai sejuk aman tentram bersahaja cita cita diawali daerah penyangga kota berbaur mesyarakat bersahaja kelurahan puspasari kabupaten bogor jawa barat indonesia nama yayasan cahaya madani disingkat ycm ycm bergerak program utama 1 sosial 2 kemanusiaan 3 keagamaan kebutuhan sembako santunan kebutuhan biaya pendidikan anak asuh bimbingan belajar formal agama panti Makanan Pendidikan
77,PKAY ( Pembantu Kesejahteraan Anak Yatim ),Lembaga Kesejahteraan Sosial Anak,['Panti Anak Non Mukim'],39,02 May 2017,03 Mar 2023,Endang Rumiyati,"Jl. Anggrek Rosliana I, RT.1/RW.5, Kemanggisan, Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480, Indonesia","Yayasan PKAY berdiri sejak 14 tahun 1972, awal dari ada 7 anak yatim disekitarnya yang seminggu hanya 3 kali makan, untuk Nenek saya berinisiatif untuk membantu meringankan beban anak-anak tersebut, dan mengajak ibu-ibu komplek slipi untuk memberikan iuran tiap bulan, Nenek saya berencana membuat yayasan anak yatim dan memohon dukungan dari pak lurah dan pak camat, beliau sangat setuju, maka terbentuklah yayasan yang bernama YAYASAN PKAY (Pembantu Kesejahteraan Anak Yatim)","beasiswa, natura, nutrisi, perlengkapan dan peralatan sekokah, perlengkapan sholat","['Makanan', 'Fasilitas', 'Kesehatan']",Memberikaan santunan dan beasiswa,['Pembinaan Masyarakat'],10.0,53,23.0,30.0,1,1,yayasan pkay berdiri 14 1972 7 anak yatim disekitarnya seminggu 3 kali makan nenek berinisiatif membantu meringankan beban anak anak mengajak komplek slipi iuran nenek berencana yayasan anak yatim memohon dukungan lurah camat beliau setuju terbentuklah yayasan bernama yayasan pkay pembantu kesejahteraan anak yatim,beasiswa natura nutrisi perlengkapan peralatan sekokah perlengkapan sholat,memberikaan santunan beasiswa,PKAY ( Pembantu Kesejahteraan Anak Yatim ) yayasan pkay berdiri 14 1972 7 anak yatim disekitarnya seminggu 3 kali makan nenek berinisiatif membantu meringankan beban anak anak mengajak komplek slipi iuran nenek berencana yayasan anak yatim memohon dukungan lurah camat beliau setuju terbentuklah yayasan bernama yayasan pkay pembantu kesejahteraan anak yatim beasiswa natura nutrisi perlengkapan peralatan sekokah perlengkapan sholat memberikaan santunan beasiswa Makanan Fasilitas Kesehatan
78,Rumah Singgah Tjiliwoeng,Lembaga Kesejahteraan Sosial Anak,['Rumah Singgah Anak Jalanan'],0,01 Jan 1970,03 Mar 2023,,"Jalan Manggarai Utara II No. 17 RT. 09/RW 01, Kel. Manggarai, Tebet, Jakarta Selatan, DKI Jakarta","RUMAH SINGGAH TJILIWOENG DIDIRIKAN UNTUK MEMBANTU MEMENUHI KEBUTUHAN HAK DASAR ANAK, BAIK KEBUTUHAN DASAR PENDIDIKAN MAUPUN KEBUTUHAN DASAR NUTRISI.

FOKUS KEGIATAN UTAMA YANG DILAKSANAKAN SELAMA INI ADALAH MELAKSANAKAN KEGIATAN BIMBINGAN BELAJAR KEPADA ANAK-ANAK JALANAN, ANAK TERLANTAR DAN DHU'AFA.",Bantuan fasilitas pendidikan,['Pendidikan'],"MELAKSANAKAN KEGIATAN BIMBINGAN BELAJAR KEPADA ANAK-ANAK JALANAN, ANAK TERLANTAR DAN DHU'AFA.",['Pendidikan'],0.0,0,0.0,0.0,1,1,rumah singgah tjiliwoeng didirikan membantu memenuhi kebutuhan hak dasar anak kebutuhan dasar pendidikan kebutuhan dasar nutrisi fokus kegiatan utama dilaksanakan melaksanakan kegiatan bimbingan belajar anak anak jalanan anak terlantar dhuafa,bantuan fasilitas pendidikan,melaksanakan kegiatan bimbingan belajar anak anak jalanan anak terlantar dhuafa,Rumah Singgah Tjiliwoeng rumah singgah tjiliwoeng didirikan membantu memenuhi kebutuhan hak dasar anak kebutuhan dasar pendidikan kebutuhan dasar nutrisi fokus kegiatan utama dilaksanakan melaksanakan kegiatan bimbingan belajar anak anak jalanan anak terlantar dhuafa bantuan fasilitas pendidikan melaksanakan kegiatan bimbingan belajar anak anak jalanan anak terlantar dhuafa Pendidikan
79,Panti Al Falah Kemayoran,Lembaga Kesejahteraan Sosial Anak,['Panti Anak Non Mukim'],393,13 May 2017,03 Mar 2023,Rosmaniar,"Jalan Kemayoran Barat 3 No.19, RT. 001/06, Kemayoran, Kota Jakarta Pusat, 10620, Indonesia","Penyantunan, Pembinaan dan Pengasuhan anak Yatim, Piatu dan Lansia 
","seragam anak, seragam lansia, printer, laptop, filling kabinet","['Fasilitas', 'Infrastruktur', 'Pendidikan']","Santunan Rutin, Beasiswa, Kesehatan, Ketrampilan, Rekrasi,Sunatan Massal",['Pembinaan Masyarakat'],10.0,45,1.0,44.0,1,1,penyantunan pembinaan pengasuhan anak yatim piatu lansia,seragam anak seragam lansia printer laptop filling kabinet,santunan rutin beasiswa kesehatan ketrampilan rekrasi sunatan massal,Panti Al Falah Kemayoran penyantunan pembinaan pengasuhan anak yatim piatu lansia seragam anak seragam lansia printer laptop filling kabinet santunan rutin beasiswa kesehatan ketrampilan rekrasi sunatan massal Fasilitas Infrastruktur Pendidikan
80,Test ,Lembaga Kesejahteraan Sosial Anak,[''],0,16 May 2017,01 Mar 2023,test,"Jl. H Mursan No.14, Belendung, Benda, Kota Tangerang, Banten 15123, Indonesia",test,pendidikan dan makanan,[''],,[''],101.0,101,56.0,45.0,1,1,test,pendidikan makanan,,Test  test pendidikan makanan  
83,Panti Aisyiyah Kalinyamatan ,Lembaga Kesejahteraan Sosial Anak,['Panti Anak Mukim'],0,24 May 2017,03 Mar 2023,"Pimpinan Cabang Aisyiyah (PCA) Kalinyamatan, Ketua","Jl. Kromodiwiryo, RT. 15 / 03, Purwogondo, Kalinyamatan, Purwogondo, Kalinyamatan, Kabupaten Jepara, Jawa Tengah 59462","Mengasuh anak yatim piatu duafa di dalam atau luar asrama, juga sebagai rujukan untuk Anak berhadapan dengan hukum (ABH). ","Kebutuhan makanan yang diperlukan panti berupa tambahan untuk belanja lauk dan makanan tambahan bagi anak seperti buah dan susu.  Untuk kebutuhan kesehatan berupa peralatan mandi seperti  sabun cuci, sabun mandi, pasta gigi, sikat gigi, shampo, pembalut. ","['Makanan', 'Fasilitas', 'Kesehatan', 'Infrastruktur', 'Pendidikan']","Pendidikan: menyelesaikan program wajib sekolah bagi anak dan kuliah bagi anak-anak yg mampu.
Ketrampilan: memberikan ketrampilan bagi anak-anak untuk bekal kedepannya sebagai dasar untuk bekerja.
Keagamaan: memberikan pendidikan keagamaan bagi anak-ana","['Pendidikan', 'Keagamaan', 'Keterampilan']",9.0,36,22.0,14.0,3,3,mengasuh anak yatim piatu duafa asrama rujukan anak berhadapan hukum abh,kebutuhan makanan panti tambahan belanja lauk makanan tambahan anak buah susu kebutuhan kesehatan peralatan mandi sabun cuci sabun mandi pasta gigi sikat gigi shampo pembalut,pendidikan menyelesaikan program wajib sekolah anak kuliah anak anak yg ketrampilan ketrampilan anak anak bekal kedepannya dasar keagamaan pendidikan keagamaan anak ana,Panti Aisyiyah Kalinyamatan  mengasuh anak yatim piatu duafa asrama rujukan anak berhadapan hukum abh kebutuhan makanan panti tambahan belanja lauk makanan tambahan anak buah susu kebutuhan kesehatan peralatan mandi sabun cuci sabun mandi pasta gigi sikat gigi shampo pembalut pendidikan menyelesaikan program wajib sekolah anak kuliah anak anak yg ketrampilan ketrampilan anak anak bekal kedepannya dasar keagamaan pendidikan keagamaan anak ana Makanan Fasilitas Kesehatan Infrastruktur Pendidikan
84,Panti Hidayatus Sholihin,Lembaga Kesejahteraan Sosial Anak,['Panti Anak Mukim'],2,25 May 2017,03 Mar 2023,Ruman Ariyadi,"Jl. Wringinjajar RT.03 RW.02 Kec. Mranggen, Kabupaten Demak, Jawa Tengah 59567, Indonesia","Menyantuni anak yatim piatu, fakir miskin, dan anak terlantar/Penyandang Masalah Kesejahteraan Sosial","Kebutuhan yang di[perlukan antara lain kebutuhan hidup sehari hari yaitu untuk biaya sekolah, selain itu saat ini panti membutuhkan 30 tempat tidur dan Rehab Kamar mandi /MCK, kebutuhan laiinya untuk Pengadàan Usaha Ekonomi Produktif/ UEP ( Mesin Depo Isi","['Makanan', 'Fasilitas', 'Infrastruktur', 'Usaha']","- Memberikan pelayanan anak asuh sesuai dengan kebutuhan sehari-hari ( Permakanan, pendidikan, kesehatan dan keterampilan/Skill 
- pengadaan sarana dan prasarana/ infrastruktur
- Pengadaan Usaha Ekonomi Produktif.","['Pendidikan', 'Keagamaan', 'Keterampilan']",15.0,60,22.0,38.0,3,3,menyantuni anak yatim piatu fakir miskin anak terlantar penyandang kesejahteraan sosial,kebutuhan perlukan kebutuhan hidup sehari biaya sekolah panti membutuhkan 30 tidur rehab kamar mandi mck kebutuhan laiinya pengad an usaha ekonomi produktif uep mesin depo isi,pelayanan anak asuh sesuai kebutuhan sehari permakanan pendidikan kesehatan keterampilan skill pengadaan sarana prasarana infrastruktur pengadaan usaha ekonomi produktif,Panti Hidayatus Sholihin menyantuni anak yatim piatu fakir miskin anak terlantar penyandang kesejahteraan sosial kebutuhan perlukan kebutuhan hidup sehari biaya sekolah panti membutuhkan 30 tidur rehab kamar mandi mck kebutuhan laiinya pengad an usaha ekonomi produktif uep mesin depo isi pelayanan anak asuh sesuai kebutuhan sehari permakanan pendidikan kesehatan keterampilan skill pengadaan sarana prasarana infrastruktur pengadaan usaha ekonomi produktif Makanan Fasilitas Infrastruktur Usaha
85,Panti Padepokan Zammi Karina Indonesia (PAZKI),Lembaga Kesejahteraan Sosial Anak,['Panti Anak Mukim'],19,25 May 2017,03 Mar 2023,Zaenal Abidin,"Lawanggintung, South Bogor, Bogor City, West Java, Indonesia","Panti Asuhan yang mengasuh anak-anak dhuafa dan yatim telah berdiri sejak 2013. Jumlah anak :
28 anak laki-laki
6 anak perempuan
","Matras, Meja belajar kecil, Komputer, dan alat administrasi lainnya","['Fasilitas', 'Infrastruktur']","Tahfiz Quran Rutin (program untuk menghafal alqur,an mulai dari umur 7th ke atas termasuk warga sekitar dan dhuafa)
Pemberdayaan masyarakat ","['Keagamaan', 'Pembinaan Masyarakat']",7.0,21,15.0,6.0,2,2,panti asuhan mengasuh anak anak dhuafa yatim berdiri 2013 anak 28 anak laki laki 6 anak perempuan,matras meja belajar komputer alat administrasi,tahfiz quran rutin program menghafal alqur an umur 7th warga dhuafa pemberdayaan masyarakat,Panti Padepokan Zammi Karina Indonesia (PAZKI) panti asuhan mengasuh anak anak dhuafa yatim berdiri 2013 anak 28 anak laki laki 6 anak perempuan matras meja belajar komputer alat administrasi tahfiz quran rutin program menghafal alqur an umur 7th warga dhuafa pemberdayaan masyarakat Fasilitas Infrastruktur
86,Panti Fahmi,Lembaga Kesejahteraan Sosial Anak,['Panti Anak Mukim'],2,26 May 2017,03 Mar 2023,Andi Abd Rahman,"Komplek Depag, Lorong 2 Blok A12 No.10, Parang Tambung, Kec. Tamalate, Kota Makassar, Sulawesi Selatan 90224","panti asuhan fahmi berdiri sejak tahun 2000 membina anak yatim,piatu dan fakir miskin serta anak terlantar ,menjadi anak yang berahlak dan dapat mandiri",material pembangunan,['Infrastruktur'],,"['Pendidikan', 'Keagamaan']",5.0,30,5.0,25.0,2,2,panti asuhan fahmi berdiri 2000 membina anak yatim piatu fakir miskin anak terlantar anak berahlak mandiri,material pembangunan,,Panti Fahmi panti asuhan fahmi berdiri 2000 membina anak yatim piatu fakir miskin anak terlantar anak berahlak mandiri material pembangunan  Infrastruktur
87,Panti Paym Ning Amriyah Soepardo Kendal,Lembaga Kesejahteraan Sosial Anak,[''],0,27 May 2017,02 Mar 2023,Muhammadiyah Cabang KENDAL,"Jl. Pemuda No.65A, Langenharjo, Kendal, Kabupaten Kendal, Jawa Tengah 51314, Indonesia",Panti Asuhan anak,"meja makan 1 set, almari arsip, ac, peralatan sekolah, sound system aula, meja belajar, sprei, dana wisata",[''],,[''],26.0,26,14.0,12.0,1,1,panti asuhan anak,meja makan 1 set almari arsip ac peralatan sekolah sound system aula meja belajar sprei dana wisata,,Panti Paym Ning Amriyah Soepardo Kendal panti asuhan anak meja makan 1 set almari arsip ac peralatan sekolah sound system aula meja belajar sprei dana wisata  
88,Panti Asuhan Tebet  Yayasan Remaja Masadepan,Lembaga Kesejahteraan Sosial Anak,[''],0,28 May 2017,03 Mar 2023,Bapak Firdaus & Ibu Mariam,"Jl. Tebet Raya No.69, Tebet Bar., Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12810, Indonesia",Tempat untuk menampung anak2 yang membutuhkan yg memfasilitasi kebutuhan tempat tinggal dan pendidikan,Mainan edukasi,[''],,[''],44.0,44,20.0,24.0,1,1,menampung anak2 membutuhkan yg memfasilitasi kebutuhan tinggal pendidikan,mainan edukasi,,Panti Asuhan Tebet  Yayasan Remaja Masadepan menampung anak2 membutuhkan yg memfasilitasi kebutuhan tinggal pendidikan mainan edukasi  
89,Panti Sosial Bina Remaja Taruna Jaya,Lembaga Kesejahteraan Sosial Anak,[''],0,28 May 2017,03 Mar 2023,Pemerintah Daerah DKI Jakarta ,"Jalan Tebet Barat Gang Trijaya IV, Tebet Bar., Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12810, Indonesia","Panti dinas bina marga yang melingkupi kegiatan anak jalanan, anak terlantar pada usia remaja.  Membina keterampilan yang dapat digunakan untuk bekerja","10 tempat tidur untuk asrama laki laki,  20 paket alat kebersihan diri (kebutuhan sehari-hari), 20 paket pakaian layak pakai sehari-hari,  tenaga pengajar baca tulis untuk anak jalanan",[''],,[''],110.0,110,80.0,30.0,1,1,panti dinas bina marga melingkupi kegiatan anak jalanan anak terlantar usia remaja membina keterampilan,10 tidur asrama laki laki 20 paket alat kebersihan kebutuhan sehari 20 paket pakaian layak pakai sehari tenaga pengajar baca tulis anak jalanan,,Panti Sosial Bina Remaja Taruna Jaya panti dinas bina marga melingkupi kegiatan anak jalanan anak terlantar usia remaja membina keterampilan 10 tidur asrama laki laki 20 paket alat kebersihan kebutuhan sehari 20 paket pakaian layak pakai sehari tenaga pengajar baca tulis anak jalanan  
90,Panti Asuhan Anak Putra Utama 3 ,Lembaga Kesejahteraan Sosial Anak,[''],0,28 May 2017,03 Mar 2023,Pemerintah Daerah DKI Jakarta) ,"Jalan Tebet Barat Gang Trijaya IV, Tebet Bar., Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12810, Indonesia","Panti Asuhan yang mengutamakan pendidikan formal dan keterampilan seperti menari,  paduan suara,  band","Kebutuhan tenaga kerja pengajar,  buku untuk perpustakaan ( novel inspiratif ),  printer",[''],,[''],57.0,57,0.0,57.0,1,1,panti asuhan mengutamakan pendidikan formal keterampilan menari paduan suara band,kebutuhan tenaga kerja pengajar buku perpustakaan novel inspiratif printer,,Panti Asuhan Anak Putra Utama 3  panti asuhan mengutamakan pendidikan formal keterampilan menari paduan suara band kebutuhan tenaga kerja pengajar buku perpustakaan novel inspiratif printer  
91,Arsyada Citeureup,Lembaga Kesejahteraan Sosial Anak,['Panti Anak Mukim'],0,01 Jan 1970,03 Mar 2023,Rumah Yatim Arsyada,"Kp. Kambing RT. 004 RW. 006, Karang Asem Bar., Kec. Citeureup, Bogor, Jawa Barat, Indonesia",Rumah Tahfidz Yatim Dhu’afa Arsyada merupakan lembaga pendidikan Al-Qur’an yang berkompeten dan profesional. Menyelenggarakan pendidikan bagi santri dan masyarakat umum bebas biaya namun tetap berkualitas. RTYD Arsyada bekerjasama dengan Yayasan Beasiswa Yatim Tahfizh dalam rangka memfasilitasi biaya pendidikan di luar lingkungan RTYD Arsyada.,,"['Makanan', 'Pendidikan', 'Kegiatan']",Pendidikan Tahfidz Quran,"['Pendidikan', 'Keagamaan']",0.0,0,0.0,0.0,2,2,rumah tahfidz yatim dhu afa arsyada lembaga pendidikan al qur an berkompeten profesional menyelenggarakan pendidikan santri masyarakat bebas biaya berkualitas rtyd arsyada bekerjasama yayasan beasiswa yatim tahfizh rangka memfasilitasi biaya pendidikan lingkungan rtyd arsyada,,pendidikan tahfidz quran,Arsyada Citeureup rumah tahfidz yatim dhu afa arsyada lembaga pendidikan al qur an berkompeten profesional menyelenggarakan pendidikan santri masyarakat bebas biaya berkualitas rtyd arsyada bekerjasama yayasan beasiswa yatim tahfizh rangka memfasilitasi biaya pendidikan lingkungan rtyd arsyada  pendidikan tahfidz quran Makanan Pendidikan Kegiatan
93,Panti Asuhan Wakaf Triyasa,Lembaga Kesejahteraan Sosial Anak,['Panti Anak Mukim'],0,01 Jan 1970,03 Mar 2023,Triman Jaya Sari,"Supan, Tegalgede, Kec. Karanganyar, Kabupaten Karanganyar, Jawa Tengah, Indonesia","Panti Asuhan "" Wakaf Triyasa "" berdiri tahun 1986 bermula dari wakaf tanah dari Bp. Triman Jaya Sari. 

Saat ini mengasuh sebanyak 40 anak Yatim, Piatu dan Dhua'fa yang diasramakan dimana kebutuhan konsumsi, pendidikan dan kesehatan ditanggung oleh Yayasan","Kebutuhan Pokok sehari-hari

Biaya pendidikan dan kesehatan anak asuh","['Makanan', 'Kesehatan', 'Pendidikan']",Lembaga ,['Pembinaan Masyarakat'],0.0,0,0.0,0.0,1,1,panti asuhan wakaf triyasa berdiri 1986 wakaf tanah bp triman jaya sari mengasuh 40 anak yatim piatu dhuafa diasramakan dimana kebutuhan konsumsi pendidikan kesehatan ditanggung yayasan,kebutuhan pokok sehari biaya pendidikan kesehatan anak asuh,lembaga,Panti Asuhan Wakaf Triyasa panti asuhan wakaf triyasa berdiri 1986 wakaf tanah bp triman jaya sari mengasuh 40 anak yatim piatu dhuafa diasramakan dimana kebutuhan konsumsi pendidikan kesehatan ditanggung yayasan kebutuhan pokok sehari biaya pendidikan kesehatan anak asuh lembaga Makanan Kesehatan Pendidikan
94,Panti Rohadi,Lembaga Kesejahteraan Sosial Anak,['Panti Anak Mukim'],167,10 Jun 2017,03 Mar 2023,Yayasan Multazam Sarimanan,"Sarimanan Tengah Rt.03 Rw.04 Ds. Kutoharjo Kecamatan Kaliwungu  Kabupaten Kendal, Jawa Tengah 51372, Indonesia","Panti asuhan bergerak dalam bidang penyantunan dan asuhan kepada antar (Anak yatim ,yatim piatu dan dhuafa). panti rohadi dalam naungan  yayasan multazam sarimanan yang berdiri semenjak tahun 1997 sampai sekarang 

Visi
Panti Asuhan Rohadi menjadi LKSA yang mengupayakan terciptanya generasi penerus bangsa yang beriman, bertaqwa, berakhlaq mulia, cerdas dan mandiri.

Misi
1. Memberikan asuhan , bimbingan  dan pelayanan kepada anak yatim , piatu , yatim piatu dan dhuafa di dalam panti maupun dalam asuhan keluarga.
2. Memberikan asuhan dan bimbingan ibadah serta moral keagamaan yang islami
3. Memberikan pelayanan kebutuhan dasar anak asuh yang meliputi kesehatan, permakanan, pakaian , pendidikan , perlindungan serta kenyamanan tempat tinggal 
4. Memberikan pembekalan ketrampilan dasar secara berkala dengan memberikan les meteri sekolah  dan kegiatan – kegiatan kewirausahaan kearah mandiri
5. Membangun mitra / kerja sama dengan berbagai dinas / lembaga dan pihak yang terkait dalam mendukung keberadaan dan keberlanjutan panti asuhan Rohadi
","20 lemari pakaian  (2 pintu) ,4 sett komputer, 1 lcd dan layar lcd dan 1 sett meja kursi tamu, 2 laptop, dan 2 printer","['Makanan', 'Fasilitas', 'Kesehatan', 'Infrastruktur']","1. Asuhan pelayanan dalam panti
2. Asuhan pelayanan dalam asuhan keluarga 
3. Program Pendidikan
   a) Pendidikan formal meliputi a) Mengikuti belajar dipendidikan formal sesuai dengan umur masing masing, mulai dari SD / MI, SMP / MTS dan SMA/SMK seder","['Pendidikan', 'Keagamaan', 'Keterampilan', 'Minat/Bakat', 'Pembinaan Masyarakat']",21.0,59,35.0,24.0,5,5,panti asuhan bergerak bidang penyantunan asuhan anak yatim yatim piatu dhuafa panti rohadi naungan yayasan multazam sarimanan berdiri semenjak 1997 visi panti asuhan rohadi lksa mengupayakan terciptanya generasi penerus bangsa beriman bertaqwa berakhlaq mulia cerdas mandiri misi 1 asuhan bimbingan pelayanan anak yatim piatu yatim piatu dhuafa panti asuhan keluarga 2 asuhan bimbingan ibadah moral keagamaan islami 3 pelayanan kebutuhan dasar anak asuh meliputi kesehatan permakanan pakaian pendidikan perlindungan kenyamanan tinggal 4 pembekalan ketrampilan dasar berkala les meteri sekolah kegiatan kegiatan kewirausahaan kearah mandiri 5 membangun mitra kerja dinas lembaga terkait mendukung keberadaan keberlanjutan panti asuhan rohadi,20 lemari pakaian 2 pintu 4 sett komputer 1 lcd layar lcd 1 sett meja kursi tamu 2 laptop 2 printer,1 asuhan pelayanan panti 2 asuhan pelayanan asuhan keluarga 3 program pendidikan a pendidikan formal meliputi a mengikuti belajar dipendidikan formal sesuai umur sd mi smp mts sma smk seder,Panti Rohadi panti asuhan bergerak bidang penyantunan asuhan anak yatim yatim piatu dhuafa panti rohadi naungan yayasan multazam sarimanan berdiri semenjak 1997 visi panti asuhan rohadi lksa mengupayakan terciptanya generasi penerus bangsa beriman bertaqwa berakhlaq mulia cerdas mandiri misi 1 asuhan bimbingan pelayanan anak yatim piatu yatim piatu dhuafa panti asuhan keluarga 2 asuhan bimbingan ibadah moral keagamaan islami 3 pelayanan kebutuhan dasar anak asuh meliputi kesehatan permakanan pakaian pendidikan perlindungan kenyamanan tinggal 4 pembekalan ketrampilan dasar berkala les meteri sekolah kegiatan kegiatan kewirausahaan kearah mandiri 5 membangun mitra kerja dinas lembaga terkait mendukung keberadaan keberlanjutan panti asuhan rohadi 20 lemari pakaian 2 pintu 4 sett komputer 1 lcd layar lcd 1 sett meja kursi tamu 2 laptop 2 printer 1 asuhan pelayanan panti 2 asuhan pelayanan asuhan keluarga 3 program pendidikan a pendidikan formal meliputi a mengikuti belajar dipendidikan formal sesuai umur sd mi smp mts sma smk seder Makanan Fasilitas Kesehatan Infrastruktur
95,Panti Asuhan Putra Abdul Rahim Ketait,Lembaga Kesejahteraan Sosial Anak,[''],0,30 Jun 2017,03 Mar 2023,Yayasan Muslim Asia,"Jalan Jaha RT.05 RW.11, Jati Mekar, Jatiasih, Kota Bekasi, Jawa Barat 17422, Indonesia",Panti ini didirikan pada akhir tahun 2006 di atas tanah wakaf.,"- 5 tempat tidur tingkat dari kayu
- 5 lemari pakaian 2 pintu (1 lemari utk 2 anak)
- kebutuhan makan sehari-hari
- kebutuhan sekolah",[''],,[''],30.0,30,30.0,0.0,1,1,panti didirikan 2006 tanah wakaf,5 tidur tingkat kayu 5 lemari pakaian 2 pintu 1 lemari utk 2 anak kebutuhan makan sehari kebutuhan sekolah,,Panti Asuhan Putra Abdul Rahim Ketait panti didirikan 2006 tanah wakaf 5 tidur tingkat kayu 5 lemari pakaian 2 pintu 1 lemari utk 2 anak kebutuhan makan sehari kebutuhan sekolah  
97,Panti Amal Mulia Indonesia,Lembaga Kesejahteraan Sosial Anak,"['Panti Anak Mukim', 'Penyantunan Jompo']",8,19 Jul 2017,03 Mar 2023,Djoko Bhirowo,"Jalan Masjid Al Mubarok No.16, RT 06/10, Cipulir, Kebayoran Lama, RT.6/RW.10, Cipulir, Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12230","Pusat pelayanan sosial terpadu, pusaka XI,  PSAA,  NPSAA,  SLB dari 1981","sembako,  kebutuhan ATK, kebutuhan obat,  perlengkapan kebersihan","['Pendidikan', 'Kegiatan']","- Outing Panti
- Keterampilan kaos lukis
- Keterampilan keset
- Keterampilan Komposter
","['Keterampilan', 'Pembinaan Masyarakat']",12.0,50,29.0,21.0,2,2,pusat pelayanan sosial terpadu pusaka xi psaa npsaa slb 1981,sembako kebutuhan atk kebutuhan obat perlengkapan kebersihan,outing panti keterampilan kaos lukis keterampilan keset keterampilan komposter,Panti Amal Mulia Indonesia pusat pelayanan sosial terpadu pusaka xi psaa npsaa slb 1981 sembako kebutuhan atk kebutuhan obat perlengkapan kebersihan outing panti keterampilan kaos lukis keterampilan keset keterampilan komposter Pendidikan Kegiatan
98,Panti Roudlatul Jannah,Lembaga Kesejahteraan Sosial Anak,['Panti Anak Mukim'],49,23 Aug 2017,03 Mar 2023,Bambang Adi Hapseno,"Jl. Ahmad Yani No. 4 Selopuro, Blitar, Jawa Timur 66185, Indonesia",Menyantuni anak-anak yatim dhuafa terlantar di dalam dan luar asrama sejak bayi hingga remaja.,Investor untuk beragam unit usaha Panti Asuhan,['Infrastruktur'],Mencetak anak-anak asuh yang berjiwa entrepreneur dan hafal al Qur'an ,['Keagamaan'],9.0,49,23.0,26.0,1,1,menyantuni anak anak yatim dhuafa terlantar asrama bayi remaja,investor beragam unit usaha panti asuhan,mencetak anak anak asuh berjiwa entrepreneur hafal al quran,Panti Roudlatul Jannah menyantuni anak anak yatim dhuafa terlantar asrama bayi remaja investor beragam unit usaha panti asuhan mencetak anak anak asuh berjiwa entrepreneur hafal al quran Infrastruktur
